#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
151990.9998677314,-320572.25820585946,58730.201944484026,-261842.05626137543,302.75683425476757,236.75351461659048,0.9905146854447578,317
151991.99986773526,-321208.5618079442,58128.679607169935,-263079.8822007743,299.65595953359957,236.78800111982295,0.9903704239630109,318
151992.9998677391,-320628.9124247129,57711.26593466196,-262917.64649005095,297.50417326556277,238.13905571700303,0.9847516710449825,317
151993.99986774294,-320533.5212845793,57713.07497034967,-262820.44631422963,297.51349892595096,237.3672987065366,0.9879534137022012,317
151994.99986774678,-321434.13058092305,58363.525014241226,-263070.6055666818,300.8665981765824,236.55662368289458,0.9913391111497767,317
151995.99986775062,-320895.2539778785,58334.14984246052,-262561.10413541796,300.7151678439841,235.9886196369465,0.9937251780156532,317
151996.99986775446,-320978.44574795314,58259.71258811699,-262718.73315983615,300.33144044769546,235.80268222292463,0.9945087598142435,317
151997.9998677583,-321848.8547278801,58733.991964043234,-263114.86276383686,302.7763719761702,234.77803379471987,0.9988491225863013,317
151998.99986776215,-320748.235128941,58607.672254573845,-262140.56287436717,302.12518818866874,236.60403735520907,0.9911404542363362,317
151999.999867766,-320942.1085618853,58429.884435077605,-262512.2241268077,301.20868397758807,236.9555292412275,0.9896702297233894,317
152000.99986776983,-320354.6238737379,58432.02328244876,-261922.6005912891,301.219709832048,236.66739964488949,0.9908750990219318,317
152001.99986777367,-320430.010129028,58410.98003224691,-262019.0300967811,301.11123093017795,235.9221515505494,0.9940051475333659,317
152002.99986777751,-320780.46476495336,58760.899405705626,-262019.56535924773,302.91508104894507,235.47327705906952,0.9958999848614057,317
152003.99986778136,-321040.1621434062,58546.82072972687,-262493.34141367936,301.81149583937867,236.3540777744835,0.9921886487702061,317
152004.9998677852,-320670.8235670647,58191.348890542926,-262479.4746765218,299.9790225099019,236.08554355170722,0.993317208374647,317
152005.99986778904,-320145.2377917678,58364.10184277035,-261781.13594899746,300.86957175361096,236.12234647832716,0.993162386178123,317
152006.99986779288,-320437.7395246213,58083.64264097583,-262354.09688364546,299.42379194592036,236.734849758108,0.9905927804799733,317
152007.99986779672,-320541.91630219854,58400.58024819777,-262141.33605400077,301.05761957534855,235.98210907905755,0.9937525940995353,317
152008.99986780056,-320396.1126116968,58497.98148639966,-261898.13112529716,301.5597273419517,235.88249920183242,0.9941722419081916,317
152009.9998678044,-320076.501754089,58123.140929005414,-261953.36082508363,299.6274073983859,236.27280928320815,0.9925299223801094,317
152010.99986780825,-319965.4102378958,58296.872517263226,-261668.53772063256,300.5230015548764,235.9831668634007,0.9937481396464956,317
152011.9998678121,-320190.42564391554,57962.88207402281,-262227.54356989276,298.80126578828737,236.85583892132433,0.9900867723015633,317
152012.99986781593,-319797.24079852155,58103.481178201095,-261693.75962032046,299.5260604981764,236.97624200341824,0.9895837282077008,317
152013.99986781977,-319984.8980423112,58770.57443220855,-261214.32361010264,302.9649562460051,236.4659590612345,0.9917192055439384,317
152014.99986782362,-320248.2821829207,58762.91328577604,-261485.36889714468,302.9254626913454,236.31120913442,0.9923686392929366,317
152015.99986782746,-320732.0311002089,57776.56145747332,-262955.46964273555,297.84077462436727,236.3988880828584,0.9920005756380605,317
152016.9998678313,-321156.9520865304,58358.75502304436,-262798.19706348603,300.84200865728275,235.06371247332294,0.9976351968192749,317
152017.99986783514,-321011.4164768476,58392.27909926849,-262619.1373775791,301.0148267790138,235.76424588219922,0.9946708932938285,317
152018.99986783898,-320551.9759514306,58078.22864887444,-262473.7473025562,299.39588257297373,236.71529131122495,0.9906746275637525,317
152019.99986784282,-321036.9031878803,58222.83472697437,-262814.0684609059,300.141333413768,236.31190792534798,0.9923657047890918,317
152020.99986784667,-320840.2251214774,58743.363086936675,-262096.8620345407,302.8246805364457,236.7373781389319,0.9905822008418523,317
152021.9998678505,-320985.4329436959,58458.59705233644,-262526.8358913595,301.3566988118069,236.1974367049818,0.9928466469824597,317
152022.99986785435,-321557.75499488274,58288.05672884709,-263269.69826603564,300.47755576882497,235.94484113971035,0.9939095592241981,317
152023.9998678582,-321226.6224966445,58193.24898859067,-263033.37350805383,299.9888176008544,237.3935598539426,0.9878441234997061,317
152024.99986786203,-320512.62548159994,58400.35381311737,-262112.27166848257,301.05645229231806,236.2948910073292,0.9924371705993389,317
152025.99986786587,-320650.5385309798,58081.83118163305,-262568.7073493467,299.4144537914812,236.17898722131397,0.9929242047204011,317
152026.99986786972,-320574.4501221746,58052.36286669527,-262522.0872554793,299.26254330171616,237.20348965024496,0.988635679028893,317
152027.99986787356,-320144.0962593269,58678.95807339891,-261465.138185928,302.4926697930252,237.39819135674858,0.9878248512263846,317
152028.9998678774,-319978.5438095343,58135.18642050412,-261843.35738903016,299.68950244918506,236.26545581242706,0.9925608136492475,317
152029.99986788124,-320478.57397923316,59071.63540775498,-261406.93857147818,304.51693912459706,235.93281280313138,0.993960230763122,317
152030.99986788508,-320617.045051988,58414.31062210951,-262202.7344298785,301.1284002708173,235.65485838030565,0.9951326048196232,317
152031.99986788892,-320343.41956676426,58109.038446275285,-262234.381120489,299.55470846521104,236.1560950762559,0.9930204553165113,317
152032.99986789277,-319744.2324935992,57594.8313562196,-262149.4011373796,296.9039477733991,237.37414477460183,0.9879249203027963,317
152033.9998678966,-320052.33651927346,58047.55505275499,-262004.78146651847,299.237758804472,236.67395336030344,0.9908476607959774,317
152034.99986790045,-320654.3939510139,57852.77801800228,-262801.61593301164,298.23367442412183,235.33369215935633,0.996490689057799,317
152035.9998679043,-321375.3142425399,58242.705066554365,-263132.60917598556,300.24376590859396,235.56458299823774,0.9955139693480464,317
152036.99986790813,-320654.5346756899,57889.55910728744,-262764.97556840244,298.42328259476875,236.09233341038265,0.9932886412315834,317
152037.99986791197,-321951.2567187918,58232.9644748976,-263718.2922438942,300.19355272021505,235.22744332397014,0.9969407894954412,317
152038.99986791582,-321503.7038431042,58385.114529976156,-263118.58931312803,300.97789310186084,235.8230443746454,0.9944228889091813,317
152039.99986791966,-320483.87167012156,58052.02406258782,-262431.84760753374,299.2607967512939,234.5594975571838,0.9997797381929578,317
152040.9998679235,-321125.96440089564,58269.21865661733,-262856.7457442783,300.380444658648,234.8238519132657,0.9986542301716888,317
152041.99986792734,-320413.10728452937,58078.88364806742,-262334.22363646195,299.39925912329267,236.0578378790745,0.9934337921815773,317
152042.99986793118,-321541.55007652566,58481.42297155515,-263060.1271049705,301.4743674526902,236.04600611048525,0.9934835878927251,317
152043.99986793502,-321339.8344193101,57609.7200504269,-263730.1143688832,296.98069966212324,236.38955526703793,0.9920397404761843,317
152044.99986793887,-320926.43287811684,57787.19154208002,-263139.2413360368,297.89557318893594,235.7613903685236,0.9946829406283566,317
152045.9998679427,-321121.55410863017,58571.618489265675,-262549.9356193645,301.9393294058574,237.05308065097185,0.9892629634443504,317
152046.99986794655,-321139.1630741167,58125.375715923496,-263013.7873581932,299.6389278255281,236.9459426050781,0.9897102709593606,317
152047.9998679504,-320731.2904826738,58171.50991759088,-262559.7805650829,299.87675171145474,235.82972665083244,0.9943947117642354,317
152048.99986795423,-320705.62185564963,57984.305985548766,-262721.31587010087,298.91170701641533,235.9680591991784,0.9938117635677425,317
152049.99986795807,-321708.24415471964,58053.649795128906,-263654.59435959073,299.26917747571144,235.83779735152376,0.9943606821804376,317
152050.99986796192,-321233.8174228666,57927.00979520683,-263306.80762765976,298.61634257651133,235.43374501683118,0.9960672079596233,317
152051.99986796576,-321678.39962394466,57913.702738918306,-263764.69688502635,298.54774410244215,235.07279263979,0.9975966611233366,317
152052.9998679696,-320588.06152089103,57437.64927763445,-263150.4122432566,296.0936670841039,236.39356324743758,0.9920229207464892,317
152053.99986797344,-319769.8929670381,57983.05703864747,-261786.83592839062,298.90526863892865,236.3793080968691,0.9920827459326128,317
152054.99986797728,-320650.81411407865,59081.967868298874,-261568.84624577977,304.570203423727,236.61210623791916,0.9911066546298763,317
152055.99986798113,-319917.54361115466,58155.715274170274,-261761.82833698438,299.79532961376253,236.68148189369165,0.9908161432068647,317
152056.99986798497,-319995.14168073353,57693.35768681404,-262301.7839939195,297.41185544192217,235.81209905930345,0.9944690454556259,317
152057.9998679888,-320815.0720658493,58081.91324536945,-262733.1588204799,299.41487683373566,236.0858056344485,0.9933161056768536,317
152058.99986799265,-320635.0088662803,57670.15542607551,-262964.8534402048,297.2922467435664,237.4356903719931,0.9876688407331982,317
152059.9998679965,-319848.5125414161,57525.419139317935,-262323.09340209817,296.5461246712818,236.4021367312623,0.9919869435231765,317
152060.99986800033,-320796.6039700657,58634.602291945135,-262162.0016781206,302.26401374333994,237.22043646765204,0.9885650517735686,317
